run_id,config_name,n_ensemble,n_samples,accuracy,roc_auc_macro,f1_macro,recall_macro,precision_macro,f1_class_0_early,f1_class_1_late,f1_class_2_healthy,seed
0,ensemble_8,8,300,0.5704136715800072,0.8021507106573557,0.37408752888759095,0.6394811447100004,0.40683477093862547,0.22955059812479794,0.17976268335980566,0.7129493051781693,42
1,ensemble_8,8,300,0.5449612619920007,0.8021275271834801,0.3631231367092341,0.642849999982717,0.4051535096510625,0.2233534178267193,0.17669271976815668,0.6893232725328263,43
2,ensemble_8,8,300,0.5404581433725841,0.8046811980054994,0.3609392592217627,0.6359340803955617,0.4046198619602827,0.2306782758250027,0.16663849923947946,0.685501002600806,44
3,ensemble_8,8,300,0.5258579699605628,0.8086006324916172,0.35417047729204126,0.6445151527380978,0.4034464676981178,0.21188913202042306,0.17995759196091085,0.6706647078947898,45
4,ensemble_8,8,300,0.5342768439012111,0.8071710043791319,0.3582703337099442,0.6440912385776468,0.40414425370741097,0.21905952495432254,0.17700235038871814,0.6787491257867919,46
5,ensemble_8,8,300,0.5568763460408916,0.8045421811073727,0.36633243484862527,0.6360245621609547,0.4038411101761206,0.21580547112462006,0.1825726141078838,0.700619219313372,47
6,ensemble_8,8,300,0.5285430593236932,0.8054392075256992,0.3562103741411277,0.6469178802946464,0.4041175141957561,0.21827016520894071,0.17733730924399227,0.6730236479704501,48
7,ensemble_8,8,300,0.5980197465946914,0.8099471176306814,0.38632443813629047,0.6353691882386608,0.40967393247270945,0.2404828226555246,0.18070055615181968,0.7377899356015273,49
8,ensemble_8,8,300,0.5154252789975666,0.7992747442786391,0.3490731816732205,0.6428791553842175,0.4026150398393093,0.2107146219753319,0.17557186016400517,0.6609330628803245,50
9,ensemble_8,8,300,0.5355075098593125,0.7985276385079697,0.35687571912899124,0.635462324366061,0.4025277906460589,0.21499427699351392,0.1750092013249908,0.6806236790684691,51
10,ensemble_8,8,300,0.53573126730624,0.8055145839341419,0.3585188005049442,0.6441958900798724,0.40423607387974547,0.21366223908918405,0.18138380961132042,0.6805103528143283,52
11,ensemble_8,8,300,0.5580231029563952,0.8049789890168961,0.36773087371904617,0.6384532400990742,0.4050872093997449,0.22119815668202766,0.1802950975725845,0.7016993669025265,53
12,ensemble_8,8,300,0.5508908343355803,0.8038745764563116,0.365787649033624,0.6457228255159541,0.4053775787724397,0.2157605607122561,0.18727467602065673,0.6943277103679589,54
13,ensemble_8,8,300,0.5264453332587475,0.8062949646558923,0.35572795755568604,0.6476884039034119,0.4047527827546978,0.22143280047365305,0.1745242585290588,0.6712268136643463,55
14,ensemble_8,8,300,0.5949151120185718,0.8047448753599807,0.3834053241178408,0.6343621519546293,0.40761917092798833,0.2265804755122165,0.1886945912972753,0.7349409055440306,56
15,ensemble_8,8,300,0.5048247699493749,0.8007386001106492,0.3459333494084942,0.6449574421625911,0.4029577513197919,0.22226487523992322,0.16588804196377346,0.6496471310217858,57
16,ensemble_8,8,300,0.5389198109249573,0.8064309458470488,0.3617633024459157,0.6497215653282115,0.4056832333342452,0.22364152473641524,0.1787963610916725,0.6828520215096594,58
17,ensemble_8,8,300,0.5386960534780298,0.8081667763966732,0.3606614638917908,0.6456820240265223,0.4050483459925069,0.22137546468401487,0.1778114064125603,0.6827975205787974,59
18,ensemble_8,8,300,0.5453808072049898,0.8042806881671852,0.36264089622070633,0.6412663496157177,0.4045965463822441,0.21968810916179338,0.1785548219101646,0.689679757590161,60
19,ensemble_8,8,300,0.5405979917769138,0.8072867427929834,0.36183413500714945,0.646018391182963,0.4054416173119813,0.22459477821993595,0.1762017912630232,0.6847058355384891,61
0,ensemble_32,32,300,0.5704416412608733,0.802480489801933,0.3738366260923327,0.6386329965713388,0.4066448055675947,0.22862673405742553,0.17980895298745084,0.7130741912321217,42
1,ensemble_32,32,300,0.5391715380527509,0.8020537332898533,0.35990841655168326,0.6414809819802255,0.40420003475501365,0.21887179487179487,0.17682926829268292,0.6840241864905721,43
2,ensemble_32,32,300,0.5412412944368304,0.8049404033885298,0.36119900744535194,0.6367101205880767,0.4046180774920478,0.22924901185770752,0.168141592920354,0.6862064175579942,44
3,ensemble_32,32,300,0.5297457556009286,0.8087246981101979,0.3567193264666287,0.6481383192313601,0.4044161939347344,0.21412175190524285,0.18190238029082154,0.6741338472038219,45
4,ensemble_32,32,300,0.5319273907084721,0.8067158739185762,0.35695598827560565,0.643357768631426,0.4037084721283181,0.21714720715577124,0.17720601558253307,0.6765147420885126,46
5,ensemble_32,32,300,0.5586664056163119,0.8039916627415894,0.3669556411498462,0.635450573516823,0.4038452995093334,0.21523481083274165,0.18330170777988614,0.7023304048369108,47
6,ensemble_32,32,300,0.5267250300674069,0.8057529116835466,0.3555117769741977,0.6472348344694644,0.40410614681777063,0.2187409341456339,0.17658382919145957,0.6712105675854997,48
7,ensemble_32,32,300,0.5970128380835175,0.8090171986074209,0.3859295049105007,0.6353054718013034,0.4095825148093464,0.24116088909363123,0.1797555012224939,0.736872124415377,49
8,ensemble_32,32,300,0.5213548513411462,0.7986978749071524,0.3512806999902552,0.6404422419207063,0.40261826963394337,0.21135404679708478,0.17544468546637745,0.6670433677073033,50
9,ensemble_32,32,300,0.532458814644925,0.7980862791834008,0.355379025868432,0.6353957017633683,0.4022699202625804,0.21291481516498062,0.1754289384347188,0.6777933240055967,51
10,ensemble_32,32,300,0.5342209045394792,0.8049680525786195,0.3573591481251748,0.6424818622630702,0.40375838740269426,0.21107136132555074,0.18173440235922955,0.6792716806907441,52
11,ensemble_32,32,300,0.5585545268928481,0.8053655574633716,0.3684005890307513,0.6399342412051214,0.4055248492519728,0.22307304785894205,0.18004358950061594,0.7020851297326958,53
12,ensemble_32,32,300,0.554778619975946,0.803778834831792,0.36746884934012347,0.645361481552053,0.40559560364922137,0.21623686723973257,0.18820527916789323,0.6979644016127446,54
13,ensemble_32,32,300,0.5249909098537185,0.8065149295048838,0.35465486824360754,0.646363609211393,0.4043738466439664,0.21935864646862088,0.17458279845956354,0.6700231598026382,55
14,ensemble_32,32,300,0.5912790535059995,0.8050747651131235,0.3819386120981583,0.6353046229702944,0.40749099984749493,0.22565320665083136,0.18834262544348707,0.7318200042001566,56
15,ensemble_32,32,300,0.49998601515956703,0.799927007187463,0.3433271654545413,0.6428898107785741,0.4023147238631557,0.22069360848380626,0.1643146796431468,0.6449732082366708,57
16,ensemble_32,32,300,0.543366990182642,0.8063164134817318,0.3633366447646634,0.6471768697631457,0.40564967936658497,0.22441763727121464,0.17826958264354797,0.6873227143792275,58
17,ensemble_32,32,300,0.5405700220960479,0.808218874908652,0.36146122516877927,0.645754302976488,0.40510334012132937,0.22056214399103558,0.17923186344238975,0.6845896680729125,59
18,ensemble_32,32,300,0.5451011103963304,0.8045101188322006,0.3627038344717414,0.6426371425631585,0.40467975981017973,0.21855910016484048,0.18027433050293926,0.6892780727474443,60
19,ensemble_32,32,300,0.5440102928425586,0.8076664795531302,0.36278228242047444,0.6437644270535551,0.40530256548091365,0.22329721362229102,0.17683663044487788,0.6882130031942543,61
